year,body,department,description
2023,DNV,Plant Ops,Penetrations on Walls and Ceiling Dustry Sprinkler Heads item resting on sprinkler Fire Panel not UTD Missing O2 Signage Fire Safety training-OR Malignant Hyperthermia Training Wrong Lock at Entrance
2023,DNV,Plant Ops,Unlabeled disinfectant Bulk Formaldehyde
2023,DNV,Plant Ops,Eyewash Station Electric Panel not UTD
2023,DNV,EMS,No system tracking staff in the event of evacuation
2023,DNV,Nursing,High Risk SI
2023,DNV,Plant Ops,Humidity Log
2023,DNV,Governing Body,Annual Contract
2023,DNV,Infection Control,AMS Training
2023,DNV,Quality,Internal Audit
2023,DNV,Nursing,Timely Med Administration
2023,DNV,Surgical Services,Emergency IUSS
2023,DNV,Nursing,Pain Reassessment Intra-Op Temp Monitoring Telemetry Monitoring
2024,DNV,Plant Ops,Exit discharge that did not take you to the right of way
2024,DNV,Human Resources,"During the human resources review, three (3) of three (3) staff files reviewed contained expired certifications that are requirements in the position job descriptions"
2024,DNV,Plant Ops,generator diesel fuel storage tanks not marked with hazardous materials warning signs
2024,DNV,Plant Ops,Missing annual leakage test for the OR line isolation monitors (LIMS) required by NFPA and the manufacturer.
2024,DOH,Leadership,l failed to ensure access to safe and appropriate intensive care services for which the hospital was licensed.
2024,DOH,Leadership,"Based on document review and interview, the hospital failed to ensure that policies impacting the delivery of patient care were kept current."
2024,DOH,Registration,failed to ensure that patients presenting to the hospital for services received a complete and comprehensive copy of their patient rights and responsibilities.
2024,DOH,Human Resources,failed to ensure that staff were oriented to the hospital or unit area for 3 of 10 staff reviewed.
2024,DOH,Infection Control,l failed to prevent storage of supplies in external shipping boxes in patient care areas.
2024,DOH,Pharmaceutical,l failed to ensure proper storage and discard of intravenous (IV) fluids stored in the warmer.
2024,DOH,Safe Patient Handling-Annual performance Eval,"Based on interview and document review, the hospital failed to complete an annual review and performance evaluation of the hospital's safe patient handling program"
2024,DOH,Nursing,l failed to ensure that patients restrained for violent behavior received a face-to-face assessment
2024,DOH,Nursing,failed to monitor and enforce policy regarding blood product administration
2024,DOH,Surgical Services,failed to ensure that scrub attire in the operating room was laundered according to hospital policy and national standards of care
2024,DOH,Plant Ops,"Failed to meet the requirements of the Life Safety Code of the National Fire Protection Association (NFPA), 2012 edition"
2024,DOH,Plant Ops,"OR 1,2 and 3 failed lighting, emergency lighting generator also failed"
2024,DOH,Plant Ops,Missing Hood system inspection documentation last 6 months
2024,DOH,Plant Ops,"Insufficent Fire Watch policy, fire watch rounding not specified in event of alarm system failure"
2024,DOH,Plant Ops,MOB room S238 missing escutcheon plate
2024,DOH,Plant Ops,"Insufficent Fire Watch policy, fire watch rounding not specified in event of alarm system failure"
2024,DOH,Plant Ops,Missing quarterly fire drills on all shifts
2024,DOH,Plant Ops,Missing documentation on periodic testing of piped medical gas
2024,DOH,Plant Ops,Refrigerator plugged to a power strip not directly to the wall Soclial Services DC Planning Office Refrigerator plugged to power strip Christmas lights used in a permanent application
2024,DOH,Plant Ops,Compressed gas in MRI not secured
2024,DOH,Plant Ops,"No documentation of training on compressed gas for personnel concerned with application,maintenance, handling or medical gas and cylinders."
2025,DNV,Plant Ops,No objective evidence to validate whether the monthly owner’s inspections of the kitchen hood system were completed
2025,DNV,Plant Ops,"dirty and loaded sprinkler heads in the kitchen, in the linen storage room, in patient room C116, and in the ambulance bay vestibule"
2025,DNV,Plant Ops,No objective evidence to validate the effectiveness of the fire drills for 2024
2025,DNV,Medical Staff,No objective evidence that data included comparative and/or national data elements or thresholds medical staff determined to be appropriate for indication that further evaluation is needed for the following five (5) of five (5) medical staff reviewed.
2025,DNV,Medical Staff,No objective evidence presented to demonstrate the following three (3) of five (5) medical staff had completed TB screening:
2025,DNV,Medical Staff,No objective evidence the following four (4) out of five (5) medical staff had completed an annual N95 fit test as required.
2025,DNV,Kitchen,No evidence that the kitchen floors were consistently cleaned and washed.
2025,DNV,Security,No objective evidence to validate required Lockdown Procedures training was provided to the security officers
2025,DNV,Plant Ops,No documented objective evidence to validate untested medical gas outlets were ever retested after the July 2024 annual inspection.
2025,DNV,Plant Ops,No documented objective evidence to validate whether the bulk oxygen supplier had ever provided a required training to the hospital representatives
2025,DNV,Plant Ops,the surveyor noted an “H” size free standing Nitrogen compressed gas cylinder in the tank farm as prohibited by NFPA 99 (2012). The staff immediately secured the cylinder with a chain.
2026,DNV,Plant Ops,Finding #1 Ventilation hood system placement Finding #2 Fire drills evaluations. Finding #3 During the Physical Environment/Life OR Fire Safety Drills
2026,DNV,Plant Ops,Finding#1 No evidence of bulk oxygen training (2012). Finding #2 Missing Risk Assessment for low humidity
2026,DNV,Nursing,Finding#1- Missing Restraints order renewal Finding#2- Missing F2F Evaluations Finding#3- Missing Q 15 documentation Finding#4- Missing monitoring elements of restraints
2026,DNV,Nursing,Finding#1- IS Documentation and monitoring Finding#2- Blood Transfusion monitoring post administration
2026,DNV,Surgical Services,Delineation of tasks documentation in the operative note
2026,DNV,Anesthesia Services,Finding#1- R&B discussion docuemntation in the Anesthesia consent Finding#2- Missing H&P elements
2026,DNV,Plant Ops,EOC Annual Reporting to Board Quality frequency
2026,DNV,Plant Ops,Finding#1- Blocked electrical panels Finding#2-Expired supplies in Go bag in the ED Finding#3-Missing weekly inspection biohazard central collection point Finding#4-Outdates pharmaceutical waste containers Finding#5-Missing biohazard signs
2026,DNV,Plant Ops,No documentation on Amber Alert drills
